date,sentiment,source,subject,text,title,url
2023-12-19 06:40:41,"{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.6}",CryptoNews,altcoin,Grayscale CEO Michael Sonnenshein believes the SEC needs to approve spot Bitcoin exchange-traded funds (ETFs) simultaneously.,Grayscale CEO Calls for Simultaneous Approval of Spot Products to Level the Field,https://cryptonews.comhttps://cryptonews.com/news/grayscale-ceo-calls-for-simultaneous-approval-of-spot-products-to-level-the-field.htm
2023-12-19 06:03:24,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,"In an exclusive interview with CryptoNews, Manhar Garegrat, the Country Head for India and Global Partnerships of Liminal Custody, shares insights into crypto industry's collaborations with India government.",Indian Government is Actively Collaborating With Crypto Industry: Liminal Custody’s Country Head,https://cryptonews.comhttps://cryptonews.com/news/indian-government-is-actively-collaborating-with-crypto-industry.htm
2023-12-19 05:55:14,"{'class': 'positive', 'polarity': 0.05, 'subjectivity': 0.05}",CryptoNews,blockchain,"According to the Federal Court ruling on December 18, former Binance CEO Changpeng 'CZ' Zhao has been ordered to pay $150 million, while Binance will pay $2.7 billion to conclude the CFTC enforcement action.","Judge Approves Settlement: Binance to Pay $1.5 Billion to CFTC, CZ to Pay $150 Million Fine",https://cryptonews.comhttps://cryptonews.com/news/judge-approves-settlement-binance-to-pay-1-5-billion-to-cftc-cz-to-pay-150-million-fine.htm
2023-12-19 05:35:26,"{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.9}",CoinTelegraph,blockchain,"Some suggest EVM inscriptions are the latest way for retail to access low-cap coins, while others argue it’s an over-hyped fad. Whatever it is, it’s clogging up the blockchain.",Why a gold rush for inscriptions has broken half a dozen blockchains,https://cointelegraph.com/news/inscriptions-evm-frenzy-clogs-up-blockchains
2023-12-19 05:31:08,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CoinTelegraph,ethereum,A decision by bloXroute Labs to start censoring OFAC-sanctioned blocks has been seen as a loss for Ethereum censorship resistance.,‘Concerning precedent’ — bloXroute Labs' MEV relays to reject OFAC blocks,https://cointelegraph.com/news/concerning-precedent-bloxroute-labs-mev-relays-to-reject-ofac-blocks
2023-12-19 05:25:00,"{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.38}",CryptoPotato,bitcoin,"Yonsei found that during BTC’s rally in early December, the Binary CDD was also active, signaling recent activity by short-term holders.",Is This Why Bitcoin’s Price Rally Was Halted? (CryptoQuant),https://cryptopotato.com/is-this-why-bitcoins-price-rally-was-halted-cryptoquant/
2023-12-19 04:50:11,"{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.1}",CryptoNews,bitcoin,"Cathie Wood led ARK Invest fund sold around 809, 441 Grayscale Bitcoin Trust (GBTC) shares worth $27.6 million on Monday.",Cathie Wood’s Ark Invest Sells $27.6 Million in GBTC Shares as Bitcoin Touches $43K Again,https://cryptonews.comhttps://cryptonews.com/news/cathie-wood-ark-invest-sells-27-6-million-in-gbtc-shares.htm
2023-12-19 04:10:00,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoPotato,bitcoin,Bitcoin's 150% surge pales in comparison to the staggering 266% return of listed mining companies and crypto firms like Coinbase.,Bitcoin Soared 150% in 2023 But These Companies Did Even Better: Matrixport,https://cryptopotato.com/bitcoin-soared-150-in-2023-but-these-companies-did-even-better-matrixport/
2023-12-19 04:00:01,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,"The South Korean city of Busan is edging closer to the launch of a long-awaited blockchain-powered digital assets trading platform, and has named a preferred bidder.",South Korean City Busan Names Digital Exchange Preferred Bidder,https://cryptonews.comhttps://cryptonews.com/news/south-korean-city-busan-names-digital-exchange-preferred-bidder.htm
2023-12-19 02:59:59,"{'class': 'negative', 'polarity': -0.08, 'subjectivity': 0.64}",CoinTelegraph,bitcoin,"The SEC has pushed back its decision on a roster of Ethereum ETFs, with the final date for a potential approval arriving in late May.","SEC delays several Ethereum ETFs, pushing final decision to May",https://cointelegraph.com/news/sec-delays-ethereum-etf-decision-spot-futures-may-final-date
2023-12-18 23:48:19,"{'class': 'positive', 'polarity': 0.01, 'subjectivity': 0.38}",CoinTelegraph,altcoin,"The new CEO, Josh Swihart, has been the vice president at Electric Coin for nearly five years but recently took a four month stint away from the firm.","Zcash founder Zooko Wilcox steps down from Electric Coin, naming new CEO",https://cointelegraph.com/news/zcash-founder-zooko-wilcox-steps-down-electric-coin-new-ceo
2023-12-18 23:37:26,"{'class': 'positive', 'polarity': 0.15, 'subjectivity': 0.65}",CryptoNews,blockchain,"NASDAQ-listed Bitcoin mining firm Cipher Mining Inc. has announced the purchase of 37,396 units of the latest Bitmain Antminer T21 series.","Cipher Scales BTC Mining Operation with 37,000 Bitmain Antminers Worth $100M",https://cryptonews.comhttps://cryptonews.com/news/cipher-scales-btc-mining-operation-with-37000-bitmain-antminers-worth-100m.htm
2023-12-18 23:30:29,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,South Korean crypto market analysts think the worldwide crypto market cap could hit the $5 trillion mark in 2024 as global adoption continues.,South Korean Analysts: Global Crypto Market Cap to Hit $5T in 2024,https://cryptonews.comhttps://cryptonews.com/news/south-korean-analysts-global-crypto-market-cap-to-hit-5t-in-2024.htm
2023-12-18 22:48:00,"{'class': 'positive', 'polarity': 0.6, 'subjectivity': 0.8}",CryptoPotato,altcoin,"Tether asserts to have effectively immobilized 326 wallets, overseeing 435 million USDT, in cooperation with law enforcement agencies.","Tether Reveals Partnerships with Secret Service, FBI",https://cryptopotato.com/tether-reveals-partnerships-with-secret-service-fbi/
2023-12-18 21:47:07,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.03}",CryptoNews,altcoin,"Here is our weekly collection of digital asset listing and delisting, trading pair-related announcements by crypto exchanges that we found last week and today.","Crypto Exchange Listing and Delisting Announcements: December 18, 2023",https://cryptonews.comhttps://cryptonews.com/news/crypto-exchange-listing-and-delisting-announcements-december-18-2023.htm
2023-12-18 21:09:08,"{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.26}",CryptoNews,blockchain,"A former Lido holder has filed a class action lawsuit against the Lido decentralized autonomous organization (DAO), a governing body that manages the liquid staking protocol, according to a recent court document.",Former Lido Holder Files Lawsuit Against Lido DAO,https://cryptonews.comhttps://cryptonews.com/news/former-lido-holder-files-lawsuit-against-lido-dao.htm
2023-12-18 20:56:00,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoPotato,altcoin,"BEEG's adoption skyrockets as 37% is minted within 2 hours and 15 minutes, attracting 4,300 holders. ",Avalanche Network Gas Fees Surge Linked to Trader Joe Founder’s Social Experiment,https://cryptopotato.com/avalanche-network-gas-fees-surge-linked-to-trader-joe-founders-social-experiment/
2023-12-18 19:46:43,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.05}",CryptoNews,blockchain,"With the Financial Conduct Authority tightening regulations around crypto promotions, Revolut has announced the suspension of cryptocurrency buying services for UK business accounts starting in 2024.",Revolut Suspends Crypto Services for UK Business Clients Due to New FCA Rules,https://cryptonews.comhttps://cryptonews.com/news/revolut-suspends-crypto-services-for-uk-business-clients-due-to-new-fca-rules.htm
2023-12-18 19:14:00,"{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.23}",CryptoPotato,altcoin,"Over 33% of recent miner revenue has stemmed from transaction fees alone, which are booming thanks to Ordinals.",Here’s How Much Miners Are Profiting From The BRC-20 Explosion,https://cryptopotato.com/heres-how-much-miners-are-profiting-from-the-brc-20-explosion/
2023-12-18 19:11:58,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,Fairshake has raised $78 million to support “pro-crypto” candidates in the forthcoming 2024 US elections.,Pro-Crypto Super PAC Fairshake Raises $78 Million Ahead of 2024 US Elections,https://cryptonews.comhttps://cryptonews.com/news/pro-crypto-super-pac-fairshake-raises-78-million-ahead-of-2024-us-elections.htm
2023-12-18 19:05:46,"{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.2}",CryptoNews,blockchain,"Metaverse startup Improbable has sold its gaming subsidiary, MPG, to Irish video game company Keywords Studios for $96.8 million.",Metaverse Firm Improbable Offloads Gaming Subsidiary to Keywords for $96.8 Million,https://cryptonews.comhttps://cryptonews.com/news/metaverse-firm-improbable-offloads-gaming-subsidiary-to-keywords-for-96-8-million.htm
2023-12-18 18:33:34,"{'class': 'negative', 'polarity': -0.27, 'subjectivity': 0.33}",CoinTelegraph,bitcoin,"Bitcoin may remain under pressure for a few days, but a collapse is unlikely as traders are expected to buy the dips in anticipation of a spot Bitcoin ETF.","Price analysis 12/18: SPX, DXY, BTC, ETH, BNB, XRP, SOL, ADA, AVAX, DOGE",https://cointelegraph.com/news/price-analysis-12-18-spx-dxy-btc-eth-bnb-xrp-sol-ada-avax-doge
2023-12-18 18:18:34,"{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.42}",CryptoNews,altcoin,"Blue-chip cryptocurrencies continue to pull lower from multi-month/year highs hit earlier in the month amid profit-taking ahead of what is expected to be a somewhat calmer and lower volume run in to the end of the year, as major market participants take time off for the Christmas holidays. But low cap markets continue to pump. Here are some of the biggest gainers on Uniswap.","Biggest Crypto Gainers Today on Uniswap – METIS, INJ, OX",https://cryptonews.comhttps://cryptonews.com/news/biggest-crypto-gainers-today-on-uniswap-metis-inj-ox.htm
2023-12-18 18:15:45,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CoinTelegraph,bitcoin,The ad spot came as the U.S. Securities and Exchange Commission is looking at multiple spot crypto exchange-traded fund applications from asset managers.,Bitwise launches crypto ETF media campaign with ‘The Most Interesting Man in the World’,https://cointelegraph.com/news/bitwise-etf-media-campaign-most-interesting-man
2023-12-18 18:11:43,"{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.45}",CryptoNews,bitcoin,"Bitcoin (BTC), the world's most valuable cryptocurrency, experienced a downturn over the weekend, falling to the $41,000 range. This decline is part of a broader trend that saw the global crypto market cap drop by over 8% in 24 hours, standing at $1.46 trillion. The market's sluggishness is partly due to a lack of fresh news on ETF applications.",Bitcoin Price Prediction as VanEck’s CEO Says BTC Will Hit All-Time High Within 12 Months – Time to Buy?,https://cryptonews.comhttps://cryptonews.com/news/bitcoin-price-prediction-as-vanecks-ceo-says-btc-will-hit-all-time-high-within-12-months-time-to-buy.htm
2023-12-18 18:04:55,"{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.4}",CryptoNews,blockchain,Arweave founder Sam Williams has taken to X to allege storage solution company Irys has plans to fork his decentralized information storage firm.,"Arweave Founder Accuses Irys of Planning to Fork the Platform, AR Token Plunges",https://cryptonews.comhttps://cryptonews.com/news/arweave-founder-accuses-irys-of-planning-to-fork-the-platform-ar-token-plungess.htm
2023-12-18 18:02:15,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}",CryptoNews,blockchain,Fairshakes has raised $78 million to fund pro-crypto legislators and support leaders who support blockchain innovation in the United States.,Digital Asset Executives Raise $78 Million to Support Pro-Crypto and Responsible Regulations in 2024,https://cryptonews.comhttps://cryptonews.com/news/digital-asset-executives-raise-78-million-to-support-pro-crypto-and-responsible-regulations-in-2024.htm
2023-12-18 18:00:15,"{'class': 'negative', 'polarity': -0.23, 'subjectivity': 0.3}",CoinTelegraph,ethereum,"The investor claimed that 64% of Lido tokens are controlled by just a few venture capital firms, preventing ordinary investors from having any control over decisions.",Former Lido holder files class action lawsuit against Lido DAO for crypto losses,https://cointelegraph.com/news/former-lido-holder-files-class-action-lawsuit-against-lido-dao-crypto-losses
2023-12-18 18:00:15,"{'class': 'positive', 'polarity': 0.1, 'subjectivity': 1.0}",CryptoNews,altcoin,"In the midst of the BONK meme coin frenzy, Solana Saga phones have become unexpected stars on the resale market, with one device reportedly fetching\xa0$5,000 on eBay.","Solana Saga Phone Fetches $5,000 on eBay Amid BONK Meme Coin Frenzy",https://cryptonews.comhttps://cryptonews.com/news/solana-saga-phone-fetches-5000-on-ebay-amid-bonk-meme-coin-frenzy.htm
